Card Name,Front Face Name,Color,Color Code,Color Identity,Mana Cost,Mana Value,Rarity,Card Type,Power,Toughness,Loyalty,Layout,Second Half,Second Half Cost,Second Half Type,J2SJosh Rating,Rating Note,J2SJosh Commentary,Source Section,Source Article,Collector Number,Scryfall URL,Image URL,Scryfall ID
Seasoned Cryomancer,Seasoned Cryomancer,Blue,U,U,{1}{U}{U},3,Mythic,Creature — Human Wizard,2,2,,normal,,,,4.0,,"“Seasoned” sure is a polite way of saying old, but in this case I think we can also let it mean spicy.

You can’t pull the same empty-handed nonsense that made Seasoned Pyromancer so absurd, but there’s still a ton going on here. You get to loot away whatever garbage you don’t need and toss around some stun counters.

The real juice is getting extra cards out of the graveyard. Whether this dies, gets milled, or somehow ends up down there through other shenanigans, there’s still value waiting for you.

That’s a whole lot of card for something that apparently just means “old.”",Blue,https://mtgazone.com/reality-fracture-fra-limited-set-review-blue/,38,https://scryfall.com/card/fra/38/seasoned-cryomancer,https://cards.scryfall.io/normal/front/5/1/51d86875-420d-4e82-b69c-4feeb99c9428.jpg?1789470781,51d86875-420d-4e82-b69c-4feeb99c9428
Semester Foreseer // Peer Review,Semester Foreseer,Blue,U,WU,{3}{U},4,Common,Creature — Human Wizard,3,4,,prepare,Peer Review,{2}{W/U},Sorcery,2.0,,"I don’t foresee wanting to play very many copies of this, but I’m perfectly fine with the first one even if the price is a little higher than I’d like.

It feels like it costs about one mana too much, but that becomes a lot more acceptable when you’re getting both effects bundled together. It’s solid value, just not something I want clogging up my deck in multiples.",Blue,https://mtgazone.com/reality-fracture-fra-limited-set-review-blue/,39,https://scryfall.com/card/fra/39/semester-foreseer-peer-review,https://cards.scryfall.io/normal/front/7/e/7e5a640b-fd88-4b5a-9dfc-1d8f5a5cef41.jpg?1789127516,7e5a640b-fd88-4b5a-9dfc-1d8f5a5cef41
Sphinx of False Conclusions,Sphinx of False Conclusions,Blue,U,U,{2}{U}{U},4,Rare,Creature — Sphinx Illusion,4,2,,normal,,,,4.0,,"I hope my conclusions about this one are true because I think the card is even better than it reads.

An instant-speed four-power flyer for four mana that loots when it attacks would already be a really good card. The fact that your opponent has to deal with this thing twice pushes it into bomb territory unless they have something like Infinite Coursework or Memory Trap that can shut it down without actually killing it.",Blue,https://mtgazone.com/reality-fracture-fra-limited-set-review-blue/,40,https://scryfall.com/card/fra/40/sphinx-of-false-conclusions,https://cards.scryfall.io/normal/front/0/8/08ffbd51-2bd3-4262-8809-09576ce2b6f5.jpg?1789385594,08ffbd51-2bd3-4262-8809-09576ce2b6f5
Sphinx's Approach,Sphinx's Approach,Blue,U,U,{1}{U}{U},3,Common,Instant,,,,normal,,,,1.5,,"The whole “cast five of these” thing is absurd and should basically be ignored. First, you’d have to put at least five copies of this card in your deck. Then you’d need a Sphinx worth all that nonsense. It’s not happening.

This becomes a lot more palatable if you just approach it as an instant-speed Divination. That’s a perfectly reasonable effect, but requiring double blue makes it noticeably more awkward to cast.

That extra pip is enough to knock it down at least half a point for me.",Blue,https://mtgazone.com/reality-fracture-fra-limited-set-review-blue/,41,https://scryfall.com/card/fra/41/sphinxs-approach,https://cards.scryfall.io/normal/front/f/4/f49be090-c745-40e5-bc1c-605b8d98acdf.jpg?1789644816,f49be090-c745-40e5-bc1c-605b8d98acdf
Surveillance Phantasm,Surveillance Phantasm,Blue,U,U,{1}{U},2,Common,Creature — Bird Illusion,2,3,,normal,,,,2.0,,"It used to be a tradition for blue to get a slightly overstatted two-drop with defender in almost every set. Usually, it could attack once you jumped through whatever hoop the card asked for. Most of those ended up being curve filler that was pretty easy to cut.

So why do I have this one a little higher? The first reason is flying. That lets it peck in for damage while still holding back on defense thanks to vigilance, and it can also help block opposing small flyers.

The second reason is that it can trigger itself with a reasonably costed mana sink that also happens to enable a bunch of other cards in the set. Mana sinks aren’t quite as valuable as they used to be, but having one is still a nice bonus.",Blue,https://mtgazone.com/reality-fracture-fra-limited-set-review-blue/,42,https://scryfall.com/card/fra/42/surveillance-phantasm,https://cards.scryfall.io/normal/front/9/d/9df8a06d-c7de-49af-8c01-06dca3dfef4b.jpg?1789385597,9df8a06d-c7de-49af-8c01-06dca3dfef4b
"The Theorist, Jace Beleren","The Theorist, Jace Beleren",Blue,U,U,{2}{U}{U},4,Mythic,Legendary Planeswalker — Jace,,,3,normal,,,,5.0,,"It’s his set, so of course Jace was going to make himself completely ridiculous.

He can protect himself in two different ways without forcing you to choose between staying alive and generating card advantage, which is usually the little detail that keeps planeswalkers from becoming completely obnoxious.

Apparently Jace didn’t get that memo.

The ultimate isn’t even that far out of reach, so if your opponent can’t deal with him immediately, things are going to spiral out of control very quickly.

I don’t know what else to tell you. This is a busted Limited card.",Blue,https://mtgazone.com/reality-fracture-fra-limited-set-review-blue/,43,https://scryfall.com/card/fra/43/the-theorist-jace-beleren,https://cards.scryfall.io/normal/front/2/0/20bb8c55-4b0b-425f-8201-b54fa2fdde86.jpg?1788329228,20bb8c55-4b0b-425f-8201-b54fa2fdde86
Theorist's Proxy,Theorist's Proxy,Blue,U,U,{1}{U},2,Rare,Creature — Illusion,0,3,,normal,,,,2.5,,"I’m sure there will be a few times throughout the set’s existence where the ability actually matters. It’s just not going to happen often enough for me to factor it heavily into the grade.

What I’m really basing this on is the theory that a two-mana 0/3 that basically draws a card when it enters the battlefield is pretty good.

Sometimes you don’t need anything fancy. Solid value is solid value.",Blue,https://mtgazone.com/reality-fracture-fra-limited-set-review-blue/,44,https://scryfall.com/card/fra/44/theorists-proxy,https://cards.scryfall.io/normal/front/7/1/710302ca-c4be-4069-8ce1-f531414c74e9.jpg?1788878151,710302ca-c4be-4069-8ce1-f531414c74e9
Undulating Witness,Undulating Witness,Blue,U,U,{4}{U},5,Common,Creature — Serpent,3,5,,normal,,,,2.0,,"The card itself feels like pretty underwhelming curve filler. You usually have your pick of several mediocre options at five mana, and this one doesn’t exactly jump off the page.

What makes it perfectly whelming—Young Justice reference for those of you with ball knowledge—is the basic landcycling.

That little bit of flexibility goes a long way. Early on, it can help fix your mana or make sure you hit your land drops, and later it can still function as a perfectly acceptable body.

Not exciting, but definitely useful enough to make the cut.",Blue,https://mtgazone.com/reality-fracture-fra-limited-set-review-blue/,45,https://scryfall.com/card/fra/45/undulating-witness,https://cards.scryfall.io/normal/front/0/a/0adbb4b2-a142-48da-8f4b-fa91529dbac4.jpg?1789556706,0adbb4b2-a142-48da-8f4b-fa91529dbac4
Unsummon,Unsummon,Blue,U,U,{U},1,Common,Instant,,,,normal,,,,2.0,,"Ermahgerd, a nonbasic land card from Alpha showing up in a 2026 set.

We’ve gotten about a billion variations on Unsummon over the years, but sometimes it’s best to just go old school. Sure, you’re technically going down a card, but one mana to protect your creature, blow out a combat trick, or just completely wreck your opponent’s tempo is still a bargain.

Sometimes the classics don’t need fixing.",Blue,https://mtgazone.com/reality-fracture-fra-limited-set-review-blue/,46,https://scryfall.com/card/fra/46/unsummon,https://cards.scryfall.io/normal/front/d/d/ddad9f16-52d5-49de-82b0-b1a5294a9c44.jpg?1789556722,ddad9f16-52d5-49de-82b0-b1a5294a9c44
Variable Chaser // Arc of Fortune,Variable Chaser,Blue,U,U,{2}{U},3,Rare,Creature — Human Wizard,2,3,,prepare,Arc of Fortune,{2}{U},Sorcery,2.0,,"A 2/3 flyer for three mana isn’t much more than low-end curve filler these days.

The wheel effect needs a whole lot to go right before it becomes especially relevant. It’s symmetrical, which makes it even harder to really abuse, and this isn’t Cube where you’re setting up some ridiculous combo turn and cackling like a supervillain.

There’s just enough upside here to keep it above a 1.5, but most of the time you’re drafting this because you need a flyer, not because you’re planning to live the wheel dream.",Blue,https://mtgazone.com/reality-fracture-fra-limited-set-review-blue/,47,https://scryfall.com/card/fra/47/variable-chaser-arc-of-fortune,https://cards.scryfall.io/normal/front/e/3/e3afedb1-bf9d-4e31-9700-433514cc29b1.jpg?1789470807,e3afedb1-bf9d-4e31-9700-433514cc29b1
Apex Witchstalker,Apex Witchstalker,Black,B,B,{4}{B}{B},6,Common,Creature — Wolf,6,4,,normal,,,,2.0,,"This is another mediocre piece of top-end curve filler that becomes playable mostly because basic landcycling bails it out.

It obviously gets a little better in a deck packed with life gain triggers, where the extra life can actually matter instead of just being decorative text.

Still, this isn’t something I’m going out of my way to stalk down in a draft.",Black,https://mtgazone.com/reality-fracture-fra-limited-set-review-black/,48,https://scryfall.com/card/fra/48/apex-witchstalker,https://cards.scryfall.io/normal/front/c/d/cd56f047-6bdc-4e83-8a7c-923ebad26302.jpg?1789556710,cd56f047-6bdc-4e83-8a7c-923ebad26302
Bloodline Recollector // Ancestral Craving,Bloodline Recollector,Black,B,B,{1}{B},2,Mythic,Creature — Vampire Warlock,2,2,,prepare,Ancestral Craving,{B},Instant,3.5,,"The only thing I’ll be recollecting is all the times I got excited about opening a mythic, only to realize it was this one.

Don’t get me wrong, if you manage to get even one cast off this, it goes from being a generic Grizzly Bears to generating some absolutely ridiculous value.

The problem is that they come unprepared, and fixing that is going to take some actual work. By far the easiest way is to make a few trades in combat, then slam this post-combat so you can pop it off on the end step.

When everything lines up, this can be fantastic. The issue is that when you’re behind, drawing a two-mana bear is usually about the last thing you want to see, which puts a pretty firm ceiling on its overall grade.",Black,https://mtgazone.com/reality-fracture-fra-limited-set-review-black/,49,https://scryfall.com/card/fra/49/bloodline-recollector-ancestral-craving,https://cards.scryfall.io/normal/front/4/f/4fcc913e-f736-460a-b24b-022fa2e861b9.jpg?1788329264,4fcc913e-f736-460a-b24b-022fa2e861b9
Break Under Pressure,Break Under Pressure,Black,B,B,{2}{B},3,Uncommon,Instant,,,,normal,,,,3.0,,"While this won’t always hit the exact target you want, it is at least guaranteed to take out the most expensive thing they have. Most of the time, that’s going to line up pretty well with what you wanted to kill anyway.

The baseline is already solid removal, but if you’re in a deck that cares about life gain triggers, I’d bump this up a bit. At that point, you’re getting interaction while also helping turn on the rest of your deck.",Black,https://mtgazone.com/reality-fracture-fra-limited-set-review-black/,50,https://scryfall.com/card/fra/50/break-under-pressure,https://cards.scryfall.io/normal/front/4/6/46974d94-e900-43e4-92b5-4fb9b9f7cf46.jpg?1789385622,46974d94-e900-43e4-92b5-4fb9b9f7cf46
Cast Away Doubt,Cast Away Doubt,Black,B,B,{2}{B},3,Common,Sorcery,,,,normal,,,,1.5,,"Here’s the problem: aggressive decks usually don’t often want to take a turn off just to gain a little card advantage, while control decks usually don’t want to keep taking damage while they’re desperately trying to stabilize. It does at least provide a little extra reach for the aggressive decks.

That leaves Cast Away Doubt in a bit of an awkward middle ground and seriously limits how many copies you’re going to want. Still, I have no doubt that I’ll be casting exactly one of these in plenty of decks.",Black,https://mtgazone.com/reality-fracture-fra-limited-set-review-black/,51,https://scryfall.com/card/fra/51/cast-away-doubt,https://cards.scryfall.io/normal/front/3/b/3b5b28a4-0abd-4dc2-9856-c9a8d27f6a2d.jpg?1788353191,3b5b28a4-0abd-4dc2-9856-c9a8d27f6a2d
Dark Matter Manipulator,Dark Matter Manipulator,Black,B,B,{B},1,Rare,Creature — Human Warlock,1,2,,normal,,,,2.0,,"There’s some real upside here in the right deck, but you almost definitely don’t want to just toss this into a random pile and hope for the best.

Even having a few other mill cards isn’t enough to get me especially interested. What I really want are multiple cards that actually turn the graveyard into value, like Gallia, Tragic Host.

If your deck is built to take advantage of the cards you’re milling, this can do some work. If not, you can do better.",Black,https://mtgazone.com/reality-fracture-fra-limited-set-review-black/,52,https://scryfall.com/card/fra/52/dark-matter-manipulator,https://cards.scryfall.io/normal/front/4/e/4ec912d5-cbe7-4d07-9ece-b03ac02d3055.jpg?1789385959,4ec912d5-cbe7-4d07-9ece-b03ac02d3055
